travel_id,employee_id,travel_date,travel_type,vehicle_type,distance,activity_unit,purpose,origin_state,destination_state
2738,E1002,2025-01-01,Business Travel,"Air Travel - Medium Haul (>= 300 miles, < 2300 miles)",938.1,passenger-mile,Conference,Washington,Georgia
2553,E1100,2025-01-01,Employee Commuting,Light-Duty Truck,14.4,vehicle-mile,Commute,Washington,Washington
3150,E1019,2025-01-01,Employee Commuting,Light-Duty Truck,5.3,vehicle-mile,Commute,California,California
3110,E1036,2025-01-01,Business Travel,Bus,19.5,passenger-mile,Site Visit,Texas,Colorado
2994,E1071,2025-01-01,Business Travel,Intercity Rail - Northeast Corridor,279.3,passenger-mile,Site Visit,California,California
3899,E1055,2025-01-01,Business Travel,Light-Duty Truck,20.9,vehicle-mile,Off-site Meeting,California,California
3306,E1060,2025-01-01,Employee Commuting,"Transit Rail (i.e. Subway, Tram)",23.0,passenger-mile,Commute,New York,New York
4538,E1008,2025-01-01,Business Travel,Passenger Car,45.2,vehicle-mile,Conference,Massachusetts,Colorado
1437,E1033,2025-01-01,Employee Commuting,Light-Duty Truck,12.4,vehicle-mile,Commute,Other,Other
56,E1090,2025-01-01,Business Travel,"Air Travel - Medium Haul (>= 300 miles, < 2300 miles)",387.3,passenger-mile,Client Meeting,Other,Other
2631,E1097,2025-01-01,Employee Commuting,Passenger Car,10.3,vehicle-mile,Commute,Washington,Washington
1303,E1023,2025-01-01,Employee Commuting,Passenger Car,10.8,vehicle-mile,Commute,California,California
591,E1094,2025-01-02,Employee Commuting,Passenger Car,5.8,vehicle-mile,Commute,Georgia,Georgia
640,E1059,2025-01-02,Employee Commuting,Commuter Rail,29.0,passenger-mile,Commute,Washington,Washington
394,E1059,2025-01-02,Employee Commuting,Passenger Car,35.5,vehicle-mile,Commute,Florida,Florida
2018,E1032,2025-01-02,Business Travel,Air Travel - Short Haul (< 300 miles),166.7,passenger-mile,Off-site Meeting,California,Illinois
3675,E1064,2025-01-02,Business Travel,"Air Travel - Medium Haul (>= 300 miles, < 2300 miles)",1076.1,passenger-mile,Off-site Meeting,Illinois,Massachusetts
4014,E1071,2025-01-02,Business Travel,Air Travel - Long Haul (>= 2300 miles),2949.0,passenger-mile,Off-site Meeting,Washington,Florida
3701,E1011,2025-01-02,Employee Commuting,Commuter Rail,5.1,passenger-mile,Commute,Other,Other
2843,E1043,2025-01-02,Employee Commuting,Bus,28.0,passenger-mile,Commute,California,California
1291,E1017,2025-01-02,Employee Commuting,"Transit Rail (i.e. Subway, Tram)",22.0,passenger-mile,Commute,Florida,Florida
3127,E1053,2025-01-02,Employee Commuting,Light-Duty Truck,9.5,vehicle-mile,Commute,Other,Other
2161,E1023,2025-01-02,Employee Commuting,Bus,19.0,passenger-mile,Commute,California,California
3798,E1053,2025-01-02,Employee Commuting,Bus,29.7,passenger-mile,Commute,Massachusetts,Massachusetts
1402,E1017,2025-01-02,Employee Commuting,Passenger Car,31.0,vehicle-mile,Commute,Other,Other
240,E1008,2025-01-02,Employee Commuting,Light-Duty Truck,16.8,vehicle-mile,Commute,Texas,Texas
969,E1082,2025-01-02,Employee Commuting,Light-Duty Truck,21.1,vehicle-mile,Commute,California,California
2295,E1088,2025-01-02,Employee Commuting,Passenger Car,39.2,vehicle-mile,Commute,Other,Other
885,E1008,2025-01-02,Employee Commuting,Passenger Car,12.2,vehicle-mile,Commute,California,California
3072,E1057,2025-01-03,Business Travel,Passenger Car,5.4,vehicle-mile,Off-site Meeting,Other,Washington
230,E1075,2025-01-03,Employee Commuting,"Transit Rail (i.e. Subway, Tram)",19.7,passenger-mile,Commute,Georgia,Georgia
2096,E1086,2025-01-03,Employee Commuting,Passenger Car,28.7,vehicle-mile,Commute,Other,Other
4209,E1085,2025-01-03,Employee Commuting,Commuter Rail,3.9,passenger-mile,Commute,California,California
3722,E1093,2025-01-03,Employee Commuting,Passenger Car,28.3,vehicle-mile,Commute,Illinois,Illinois
3924,E1023,2025-01-03,Employee Commuting,Light-Duty Truck,12.0,vehicle-mile,Commute,California,California
1899,E1059,2025-01-03,Employee Commuting,Bus,10.4,passenger-mile,Commute,California,California
2772,E1002,2025-01-03,Employee Commuting,"Transit Rail (i.e. Subway, Tram)",8.8,passenger-mile,Commute,Texas,Texas
1606,E1020,2025-01-03,Employee Commuting,"Transit Rail (i.e. Subway, Tram)",23.8,passenger-mile,Commute,California,California
112,E1087,2025-01-03,Business Travel,Passenger Car,29.0,vehicle-mile,Off-site Meeting,New York,Illinois
3258,E1006,2025-01-03,Business Travel,Passenger Car,28.3,vehicle-mile,Off-site Meeting,Texas,Other
2981,E1055,2025-01-03,Business Travel,Intercity Rail - Northeast Corridor,347.6,passenger-mile,Site Visit,California,New York
3577,E1074,2025-01-03,Employee Commuting,"Transit Rail (i.e. Subway, Tram)",14.6,passenger-mile,Commute,California,California
1379,E1008,2025-01-04,Business Travel,Intercity Rail - National Average,474.9,passenger-mile,Client Meeting,Florida,Texas
4346,E1063,2025-01-04,Employee Commuting,Passenger Car,27.4,vehicle-mile,Commute,California,California
2684,E1021,2025-01-04,Business Travel,Air Travel - Long Haul (>= 2300 miles),3726.1,passenger-mile,Client Meeting,Georgia,Florida
482,E1098,2025-01-04,Employee Commuting,Passenger Car,27.9,vehicle-mile,Commute,Washington,Washington
3627,E1028,2025-01-04,Employee Commuting,Passenger Car,26.3,vehicle-mile,Commute,Illinois,Illinois
164,E1066,2025-01-04,Employee Commuting,Passenger Car,33.9,vehicle-mile,Commute,Washington,Washington
4843,E1032,2025-01-04,Employee Commuting,Motorcycle,36.3,vehicle-mile,Commute,Illinois,Illinois
183,E1037,2025-01-04,Employee Commuting,Passenger Car,24.2,vehicle-mile,Commute,New York,New York
4725,E1082,2025-01-04,Business Travel,Air Travel - Long Haul (>= 2300 miles),4378.3,passenger-mile,Site Visit,Georgia,Colorado
4282,E1020,2025-01-04,Employee Commuting,Commuter Rail,23.4,passenger-mile,Commute,Florida,Florida
912,E1038,2025-01-04,Employee Commuting,Passenger Car,10.5,vehicle-mile,Commute,California,California
4637,E1066,2025-01-05,Employee Commuting,Light-Duty Truck,17.1,vehicle-mile,Commute,Colorado,Colorado
4782,E1016,2025-01-05,Employee Commuting,Bus,25.8,passenger-mile,Commute,California,California
437,E1098,2025-01-05,Employee Commuting,"Transit Rail (i.e. Subway, Tram)",7.8,passenger-mile,Commute,Florida,Florida
2852,E1028,2025-01-05,Employee Commuting,Light-Duty Truck,14.2,vehicle-mile,Commute,Florida,Florida
2891,E1074,2025-01-05,Employee Commuting,Passenger Car,34.0,vehicle-mile,Commute,California,California
361,E1017,2025-01-05,Employee Commuting,"Transit Rail (i.e. Subway, Tram)",18.9,passenger-mile,Commute,Washington,Washington
129,E1093,2025-01-05,Business Travel,Intercity Rail - Northeast Corridor,380.1,passenger-mile,Conference,California,Colorado
1329,E1008,2025-01-05,Business Travel,"Air Travel - Medium Haul (>= 300 miles, < 2300 miles)",588.0,passenger-mile,Site Visit,California,Illinois
4119,E1036,2025-01-05,Business Travel,Passenger Car,77.3,vehicle-mile,Conference,Florida,Other
902,E1076,2025-01-05,Employee Commuting,Commuter Rail,18.0,passenger-mile,Commute,California,California
4877,E1075,2025-01-05,Employee Commuting,Bus,28.6,passenger-mile,Commute,Other,Other
1672,E1040,2025-01-05,Business Travel,Intercity Rail - National Average,546.2,passenger-mile,Conference,California,Texas
4515,E1069,2025-01-05,Employee Commuting,Commuter Rail,14.5,passenger-mile,Commute,California,California
1424,E1090,2025-01-05,Employee Commuting,Passenger Car,24.0,vehicle-mile,Commute,Massachusetts,Massachusetts
1937,E1033,2025-01-05,Employee Commuting,Light-Duty Truck,19.6,vehicle-mile,Commute,Massachusetts,Massachusetts
3902,E1067,2025-01-05,Employee Commuting,Bus,24.5,passenger-mile,Commute,Texas,Texas
4223,E1052,2025-01-05,Employee Commuting,Passenger Car,36.9,vehicle-mile,Commute,California,California
1590,E1096,2025-01-05,Business Travel,Air Travel - Short Haul (< 300 miles),127.5,passenger-mile,Client Meeting,Illinois,Florida
3674,E1080,2025-01-05,Employee Commuting,Passenger Car,5.8,vehicle-mile,Commute,California,California
3344,E1005,2025-01-05,Business Travel,Air Travel - Long Haul (>= 2300 miles),2998.6,passenger-mile,Client Meeting,Other,Illinois
3383,E1031,2025-01-06,Employee Commuting,Passenger Car,18.4,vehicle-mile,Commute,New York,New York
1535,E1085,2025-01-06,Employee Commuting,Passenger Car,22.8,vehicle-mile,Commute,Massachusetts,Massachusetts
1701,E1009,2025-01-06,Employee Commuting,Passenger Car,20.7,vehicle-mile,Commute,Washington,Washington
2365,E1074,2025-01-06,Employee Commuting,Passenger Car,28.4,vehicle-mile,Commute,New York,New York
2249,E1037,2025-01-06,Employee Commuting,Bus,16.9,passenger-mile,Commute,Other,Other
4361,E1066,2025-01-06,Business Travel,"Air Travel - Medium Haul (>= 300 miles, < 2300 miles)",1323.0,passenger-mile,Client Meeting,California,Massachusetts
2319,E1012,2025-01-06,Employee Commuting,Passenger Car,10.4,vehicle-mile,Commute,California,California
1264,E1031,2025-01-06,Business Travel,"Air Travel - Medium Haul (>= 300 miles, < 2300 miles)",700.8,passenger-mile,Off-site Meeting,Texas,Massachusetts
4738,E1020,2025-01-06,Business Travel,"Air Travel - Medium Haul (>= 300 miles, < 2300 miles)",417.4,passenger-mile,Conference,Washington,Colorado
3831,E1100,2025-01-07,Business Travel,Passenger Car,100.0,vehicle-mile,Conference,Colorado,New York
4274,E1016,2025-01-07,Employee Commuting,Passenger Car,24.7,vehicle-mile,Commute,California,California
210,E1082,2025-01-07,Business Travel,Air Travel - Long Haul (>= 2300 miles),3724.7,passenger-mile,Site Visit,Georgia,Washington
203,E1045,2025-01-07,Employee Commuting,Light-Duty Truck,30.9,vehicle-mile,Commute,Colorado,Colorado
2569,E1058,2025-01-07,Employee Commuting,"Transit Rail (i.e. Subway, Tram)",38.2,passenger-mile,Commute,California,California
4605,E1018,2025-01-07,Employee Commuting,Commuter Rail,19.3,passenger-mile,Commute,California,California
4488,E1033,2025-01-07,Employee Commuting,"Transit Rail (i.e. Subway, Tram)",19.2,passenger-mile,Commute,New York,New York
305,E1038,2025-01-07,Employee Commuting,"Transit Rail (i.e. Subway, Tram)",19.6,passenger-mile,Commute,Texas,Texas
1837,E1081,2025-01-07,Employee Commuting,Bus,30.2,passenger-mile,Commute,California,California
3140,E1096,2025-01-07,Employee Commuting,Passenger Car,28.0,vehicle-mile,Commute,Washington,Washington
4278,E1007,2025-01-07,Employee Commuting,Passenger Car,19.0,vehicle-mile,Commute,California,California
4141,E1009,2025-01-07,Employee Commuting,Light-Duty Truck,23.0,vehicle-mile,Commute,Other,Other
574,E1088,2025-01-07,Employee Commuting,Passenger Car,36.1,vehicle-mile,Commute,Colorado,Colorado
3100,E1002,2025-01-07,Employee Commuting,Commuter Rail,15.9,passenger-mile,Commute,Massachusetts,Massachusetts
4244,E1048,2025-01-07,Business Travel,"Air Travel - Medium Haul (>= 300 miles, < 2300 miles)",1716.4,passenger-mile,Conference,Texas,Georgia
229,E1008,2025-01-07,Employee Commuting,Commuter Rail,25.7,passenger-mile,Commute,Other,Other
3606,E1014,2025-01-07,Employee Commuting,Bus,12.2,passenger-mile,Commute,Texas,Texas
4161,E1022,2025-01-08,Business Travel,"Air Travel - Medium Haul (>= 300 miles, < 2300 miles)",1652.5,passenger-mile,Off-site Meeting,Other,Colorado
2932,E1081,2025-01-08,Employee Commuting,Commuter Rail,9.5,passenger-mile,Commute,Colorado,Colorado
110,E1094,2025-01-08,Employee Commuting,Passenger Car,35.1,vehicle-mile,Commute,California,California
799,E1018,2025-01-08,Business Travel,Passenger Car,73.4,vehicle-mile,Client Meeting,Georgia,Georgia
2435,E1040,2025-01-08,Employee Commuting,Passenger Car,27.2,vehicle-mile,Commute,Other,Other
4345,E1060,2025-01-08,Employee Commuting,Passenger Car,18.1,vehicle-mile,Commute,Washington,Washington
3471,E1062,2025-01-08,Employee Commuting,Light-Duty Truck,18.8,vehicle-mile,Commute,California,California
1855,E1046,2025-01-08,Employee Commuting,Passenger Car,17.0,vehicle-mile,Commute,Massachusetts,Massachusetts
315,E1088,2025-01-08,Employee Commuting,Bus,19.4,passenger-mile,Commute,Georgia,Georgia
372,E1003,2025-01-08,Employee Commuting,Passenger Car,25.1,vehicle-mile,Commute,Georgia,Georgia
733,E1058,2025-01-08,Employee Commuting,Passenger Car,34.8,vehicle-mile,Commute,New York,New York
3741,E1029,2025-01-08,Business Travel,"Air Travel - Medium Haul (>= 300 miles, < 2300 miles)",1363.2,passenger-mile,Client Meeting,New York,Illinois
913,E1095,2025-01-09,Business Travel,Air Travel - Long Haul (>= 2300 miles),2825.8,passenger-mile,Site Visit,Washington,Colorado
